name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
butalamine,CCCCN(CCCC)CCN=c1nc(-c2ccccc2)[nH]o1,316.44112,413.65,863.31,181145.86372339985,,1085.2553,1801562.9,,
8-hexyltheophylline,CCCCCCc1nc2c(=O)n(C)c(=O)n(C)c2[nH]1,264.3235,475.6,800.16,160867.2705983388,,1025.2681,2510030.1,,
inositol niacinate,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,810.7206,527.75,1988.36,151734.1486080408,,2577.3324,983928.12,,
difenacoum,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,444.52046,489.15,1187,131148.06909000318,,1470.4756,1625910.5,,
coumafuryl,CC(=O)CC(c1ccco1)c1c(O)c2ccccc2oc1=O,298.29006,397.15,476.15,149388.14923970314,313617.8274500852,1116.4098,2802438.5,,
dichlorophenylarsine,Cl[As](Cl)c1ccccc1,222.9315,254.15,529.15,,178282.7093020068,804.78474,3234607.8,,
chlorophacinone,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,374.8164,413.15,1049.08,96311.15394096948,,1331.766,2012703.8,,
"1,4-pentadiyne",C#CCC#C,64.08526,240.05,294.24,228695.3349334933,376212.3581,481.9588,5087494.7,,
fluoroacetamide,N=C(O)CF,77.0576632,381.15,371.03,140310.50970151922,481873.75469835865,558.31748,5610963.8,,-1.05
"2-cyclopropen-1-one, 2,3-difluoro-",O=c1c(F)c1F,90.02830639999999,240.95,355.13,74465.46834,,542.88327,5160853.5,,
norbormide,O=C1N=C(O)C2C3C=C(C(O)(c4ccccc4)c4ccccn4)C(C3=C(c3ccccc3)c3ccccn3)C12,511.5699,467.15,1472.38,129350.84726446962,,1802.9678,1711775.1,,
1-(1-naphthyl)-2-thiourea,N=C(S)Nc1cccc2ccccc12,202.2755,466.15,,,,,,,1.65
pyrinuron,O=[N+]([O-])c1ccc(NC(O)=NCc2cccnc2)cc1,272.25938,497.15,396.65,166807.8433147097,454229.7995607857,1181.7103,3392027.9,,
phosacetim,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,375.209981,378.15,,,,,,,
scilliroside,CC(=O)O[C@@H]1C[C@]2(O)[C@H](CC[C@]3(C)[C@@H](c4ccc(=O)oc4)CC[C@@]32O)[C@@]2(C)CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C12,620.6845599999999,442.15,1705.23,122722.56297143915,,2609.3426,1349658.1,,
bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,397.513421,307.55,,,,,,,4.2
disulfoton,CCOP(=S)(OCC)SCCSCC,274.40402099999994,248.15,556.73,,170580.4831324206,757.74967,1868075.3,355.37222,4.02
"o,o-diisobutyl hydrogen phosphorodithioate",CC(C)COP(=S)(S)OCC(C)C,242.339021,462.65,,,,,,,
fenamiphos,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,303.357441,322.15,,,,,,,3.23
cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,434.2876232,333.15,1024.37,110353.1333609509,,1274.8656,1392292.3,,5.95
ac1o5cbk,C1CO1.C=CCOCC1CO1.CC(O)CO.CC1CO1,292.36852,414.2,832.88,149660.43539844852,328934.1668708571,1031.861,2041912.7,,
"3,5,6-trichloro-2-pyridinol",Oc1nc(Cl)c(Cl)cc1Cl,198.43448,447.65,580.14,113075.10670524598,,842.87881,4540798.2,,3.21
dechlorane plus,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,653.72388,904.6,1103.44,69708.33006742847,155955.17547520658,1410.2007,1540285.2,,
nocardicin a,N[C@H](CCOc1ccc(/C(=N/O)C(O)=N[C@H]2CN([C@@H](C(=O)O)c3ccc(O)cc3)C2=O)cc1)C(=O)O,500.45806,485.65,1609.67,,,2052.5588,2133458.5,,
di-(branched c16-28 alkyl) hexanedioate,CCCC[C@H](CCC)CC[C@@H](CCCC)COC(=O)CCCCC(=O)OCCC[C@@H](CCCC)[C@@H](CCC)CCCC,594.9917600000001,542.68,1183.72,149282.73964668013,95138.57474,1574.8745,429719.84,,
heedta,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,278.25912,432.15,981.99,223586.5620505089,493532.54998983286,1202.268,3009031,,
6-hydroxy-4-methylcoumarin,Cc1cc(=O)oc2ccc(O)cc12,176.16872,516.15,610.18,144503.51912643743,,843.97143,4167706.9,,
3-pyridineacetamide,N=C(O)Cc1cccnc1,136.15122,396.15,616.66,,,,,,-0.71
21-hydroxy-20-methylpregn-4-en-3-one,CC(CO)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,330.50416000000007,413.65,906.11,76337.91961952913,,1137.696,1593619.1,,
2-(2-methoxyethoxy)ethanol,COCCOCCO,120.14698,203.15,467.15,126262.01673982984,368495.88860652223,672,3670000,366.15,
"n,n'-ethane-1,2-diylbis(16-methylheptadecanamide)",CC(C)CCCCCCCCCCCCCCC(O)=NCCN=C(O)CCCCCCCCCCCCCCC(C)C,593.02224,386.45,1276.24,169514.7217412959,111440.22149846324,1768.8445,453079.04,,
sterinol,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],384.43712,313.65,,,,,,,
diflucortolone valerate,CCCCC(=O)OCC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,478.5685464,468.15,1116.97,108590.50472691072,211544.54417752664,1367.8614,1087064.2,,
"6-amino-2,4-dichloro-3-methylphenol",Cc1c(Cl)cc(N)c(O)c1Cl,192.04258,406.65,629.39,136084.40378170295,,880.52449,4615134.7,,
decoquinate,CCCCCCCCCCOc1cc2c(=O)c(C(=O)OCC)c[nH]c2cc1OCC,417.5384,516.65,1029.59,149523.97192689343,,1260.7719,1114080,,
z-aib-oh,CC(C)(N=C(O)OCc1ccccc1)C(=O)O,237.2518,509.43,751.51,139404.63254651809,,976.18052,2732562.2,,
isolasalocid a,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@@](CC)([C@@H](C)O)O2)C[C@@H]1C,590.7877599999999,1003.31,1547.25,134752.28396742683,,2071.4189,905606.05,,
narasin,CC[C@@H](C(=O)O)[C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@@H]1C,765.0251800000001,372.15,1834.94,136670.01130603306,150328.60714542962,2846.3499,608460.67,,
nicarbazin,Cc1cc(C)nc(O)n1.O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cc1,426.38282,539.15,1359.5,164389.8317,,1671.8766,2393526.4,,
oryzalin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],346.35952000000003,414.15,,,,,,,3.73
robenidine,N=C(N/N=C/c1ccc(Cl)cc1)N/N=C/c1ccc(Cl)cc1,334.20322,460.65,1033.6,,,1312.3422,1826283.9,,
coxistac,CC[C@@H](C(=O)O)C1CC[C@H](C)[C@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@@]3(C=C[C@@H](O)[C@@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)O1,750.9985999999999,386.15,1816.73,134347.7870664473,146820.3750235981,2761.3056,649113.55,,
"cyclohexanecarboxylic acid, 2,2,6-trimethyl-, ethyl ester, (1r,6r)-rel-",CCOC(=O)[C@@H]1[C@H](C)CCCC1(C)C,198.30188,290.13,542.83,95228.54750544978,234965.4652067572,747.17896,2102270.9,,
"1-aziridinepropionic acid, cinnamyl ester",O=C(CCN1CC1)OC/C=C/c1ccccc1,231.29028,369.38,628.56,141869.34271513703,,838.79335,2407640.5,,
potassium picrate,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1.[K+],267.19428000000005,523.25,,,,,,,
oxythane,Clc1ccc(OCOc2ccc(Cl)cc2)cc1,269.1233,343.65,464.65,102183.64593478158,183336.3723060345,925.38288,2651560.5,,
