name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
praseodymium chloride,[Cl-].[Cl-].[Cl-].[Pr+3],247.26665,1059.15,,204637.38235625383,,,,,
"rel-(1r,3s,4s,6s)-4,7,7-trimethylbicyclo[4.1.0]heptan-3-ol",C[C@H]1C[C@H]2[C@@H](C[C@@H]1O)C2(C)C,154.24932,306.82,524.56,109102.58794009594,,717.69185,2906110.8,,
"cyclopropanecarboxylic acid, (3z)-3-hexenyl ester",CC/C=C\CCOC(=O)C1CC1,168.23283999999998,257.65,497.52,144811.20332986116,270054.7350862021,687.73812,2522652.8,,
neodymium chloride,[Cl-].[Cl-].[Cl-].[Nd+3],250.599,1032.15,1873.15,193536.2870562133,,,,,
sulfasalazine,O=C(O)C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,398.39256,493.15,,,,,,,
2-(1-methylethyl)propanedioic acid,CC(C)C(C(=O)O)C(=O)O,146.1412,403.15,627.02,167892.42184955374,,838.8459,3906250,,
129188-99-4,CC1CC(C)(C)CC(c2ccc(O)cc2)(c2ccc(O)cc2)C1,310.42994,649.41,905.37,100425.2360452088,,1177.4371,2391186.1,,
4-(4′-hexylphenyl)benzoic acid,CCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,282.37678,496.15,843.15,150200.02707021448,,1071.0444,1856306.6,,
fluoromethane,CF,34.0329232,131.3,194.8363087,41900.60288444455,487844.9847035082,317.28,5897000,,0.51
2-(2-ethoxyethoxy)ethyl acetate,CCOCCOCCOC(C)=O,176.21024,248.15,491.15,131780.08270120964,276020.8415,663,2730000,368.15,
"2-oxepanone, trimethyl-",CC1CCCOC(=O)C1(C)C,156.22214,264.08,474.59,77729.05940220765,265265.52607587783,680.61311,2814344.7,,
triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,394.4338832,543.15,1203.65,85880.04591589306,377032.2125254433,1486.1395,2349641.2,,1.16
samarium(iii) chloride,[Cl-].[Cl-].[Cl-].[Sm+3],256.71900000000005,955.15,,,,,,,
"morphinan, 3-methoxy-",COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)NCC3,257.37062,530.75,725.17,107758.99751106014,,976.59417,2365667.9,,
succinimide,O=C1CCC(O)=N1,99.088,398.4,569.15,76598.57904085258,578132.7472941498,858,5970000,,
n-methylacetamide,CN=C(C)O,73.09378,300.15,481.15,139875.10291573373,651791.6453814362,707.4,5090000,378.7908654,-1.05
finasteride,CC(C)(C)N=C(O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N=C(O)C=C[C@]4(C)[C@H]3CC[C@]12C,372.54414,525.15,1075.31,,,1320.7364,1446834.4,,3.03
pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,266.33654,447.15,582.65,114700.7466568425,243155.4631993932,911.75958,4114411.9,,5.07
pterin,N=c1nc(O)c2nccnc2[nH]1,163.13680000000002,633.15,738.36,186689.94365465056,,1044.9739,7574604.2,,
cefalexin,CC1=C(C(=O)O)N2C(=O)[C@@H](N=C(O)[C@H](N)c3ccccc3)[C@H]2SC1,347.38888,599.95,1068.96,145525.67140318366,,1330.4742,2844444.4,,-1.8
1-methyl-3-phenylpiperazine,CN1CCNC(c2ccccc2)C1,176.25814,332.15,554.23,140889.94698344145,,791.16349,3302946.2,,
europium trichloride,[Cl-].[Cl-].[Cl-].[Eu+3],258.323,896.15,,128134.1576243695,,,,,
vecuronium bromide,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-],637.7313800000001,501.15,,,,,,,
salmeterol,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,415.56558,348.9,1167.07,156225.64313435197,,1447.2554,1441346.7,,
ranitidine,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,314.40378,342.15,889.66,189364.7716321986,,1121.6333,2246131,,0.27
saxitoxin,N=C1N[C@H]2[C@H](COC(=N)O)NC(=N)N3CCC(O)(O)[C@]23N1,299.28648,1013.69,356.15,177171.38442070622,213020.0554226585,1341.4086,6359235.8,,
mercurous chloride,[Cl-].[Cl-].[Hg+].[Hg+],472.086,673.15,656.15,,161144.23114085698,1115,20673000,,
nsc609769,CCOC(=O)C1=C(C)/C(=C\c2[nH]c(C)c(C(=O)OCC)c2C)N=C1C,344.40486,696.44,931.05,164480.83804624592,,1158.659,1584749.9,,
34688-70-5,Cc1ccc(C(C)(C)C#N)c(C)c1C,187.28078,385.15,637.51,87526.33345504008,,864.7418,2092664.9,,
cis-tamoxifen,CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.51456,344.15,918.28,125489.02524843172,,1158.0307,1378882.6,,
cefotetanum [inn-latin],CO[C@@]1(N=C(O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,575.61898,1618.67,1662.13,158445.08810324498,,2051.8872,3501278,,
nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,418.44034,398.15,1088.34,152650.19620240247,,1337.811,1410125.2,,3.05
"2,6-diethylaniline",CCc1cccc(CC)c1N,149.2328,276.65,524.15,134796.1038055977,354202.1752810521,678,3120000,371.7687983,
mono-o-acetylsolanoside,CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)[C@@H]1OC(C)=O,576.71812,862.51,1351.12,116783.22158492263,183638.9773558116,1690.7094,956136.66,,
ac1o51ld,C/C=C/C(=O)[C@@H]1C/C(C)=C/CC/C(C)=C/CC/C=C/1C,272.42502,374.84,749.94,104619.6123983032,238832.8290041053,983.26546,1588541.9,,
phencyclidine hydrochloride,Cl.c1ccc(C2(N3CCCCC3)CCCCC2)cc1,279.84804,507.15,705.55,63477.307184284735,,967.26623,2121682.3,,
cidofovir,N=c1ccn(C[C@@H](CO)OCP(=O)(O)O)c(O)n1,279.187021,533.15,,,,,,,
adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,273.185741,574.15,,,,,,,
"3,2′:4′,3′′-terpyridine",c1cncc(-c2ccnc(-c3cccnc3)c2)c1,233.26794,421.15,788.92,136126.72191472174,,1094.2722,3555771.7,,
lithium chloride,[Cl-].[Li+],42.394000000000005,883.15,1656.15,467047.2237,4937448.749334791,2695.68,22229000,,
propargyl alcohol,C#CCO,56.06326,223.15,386.15,188875.9233765572,751514.7287216834,588.8,6190000,306.15,-0.38
nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,331.45744,404.15,941.36,174269.73429831595,,1190.4067,2475186.3,,
hexadecyl methacrylate,C=C(C)C(=O)OCCCCCCCCCCCCCCCC,310.51452,297.15,711.98,158881.4590699333,195359.94617487243,882.40161,1050045.6,,
nsc55787,N#C/C(=C\c1ccc2c(c1)OCO2)c1ccccc1,249.26404,469.23,800.43,152127.84002056616,,1065.3629,2643387.2,,
12-o-butyroyl-phorboldodecanoate,CCCCCCCCCCCC(=O)O[C@@]12[C@H](OC(=O)CCC)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,616.82504,992.98,1509.74,125768.24053705733,130687.85462498137,2127.7429,730065.51,,
"19-hydroxyandrost-4-ene-3,17-dione",C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43CO)[C@@H]1CCC2=O,302.40794,445.65,910.4,64224.504158191085,326466.25669411296,1156.0179,2149313.2,,
idarubicin,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,497.49388,1203.65,1544.03,139432.87101340824,,1930.2637,2367970.8,,
"3-hydroxy-5-benzoyl-1,2,4-oxadiazole",O=C(c1ccccc1)c1nc(=O)[nH]o1,190.15554,567.32,707.18,161026.07370787094,,985.67826,5087494.7,,
5-fluorouracil,Oc1ncc(F)c(O)n1,130.0772232,556.15,642.15,146013.26452669848,433942.49355423526,807.71609,6219586.2,,-0.89
2-methoxyadenosine,COc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1,297.26730000000003,466.15,1072.45,200886.5421793786,,1313.6038,4924592.2,,
sbb017068,Cc1ccc(C(=O)[C@@H]2CCCC[C@H]2C(=O)O)cc1,246.30162,511.42,788.72,133600.42049256517,,1029.7197,2455600.3,,
2-hydroxy mestranol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)c(O)cc4[C@H]3CC[C@@]21C,326.42934,705.73,921.96,113941.96367275076,,1163.446,2274066.4,,
71173-51-8,CC12CC3C(=O)c4ccccc4C(=O)C3CC1O2,242.26986,534.24,752.84,100858.60453297822,,1019.2382,2832346.9,,
l-threose,O=C[C@H](O)[C@@H](O)CO,120.10392,435.65,615.44,113426.77241508856,,781.31081,6545804.9,,
sodium sulfite,O=S([O-])[O-].[Na+].[Na+],126.04274,1184.15,,205485.85344939344,,,,,
"1-(2,5-dimethoxy-benzyl)-4-(3-methyl-benzyl)-piperazine",COc1ccc(OC)c(CN2CCN(Cc3cccc(C)c3)CC2)c1,340.45922,544.89,833.78,118789.55723390308,,1056.4648,1643091.3,,
anhydroecgonine,CN1[C@@H]2CC=C(C(=O)O)[C@H]1CC2,167.20502,501.15,585.36,162871.90420479004,367856.5237746972,802.42801,3505425.2,,
cromolyn,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,468.36654,514.65,1455.9,152980.61215047512,,1801.9228,2246131,,1.92
iron oxide (fe3o4),O.O.O.O.[Fe].[Fe].[Fe],239.59612,1870.15,,575969.2603,,,,,
3-hydroxy-7-methoxy-n-phenylnaphthalene-2-carboxamide,COc1ccc2cc(O)c(C(O)=Nc3ccccc3)cc2c1,293.3166,639.74,900.82,137626.03275777778,,1155.1537,2887402,,
formamide,N=CO,45.04062,275.15,490.15,187386.40809118524,1139844.2933579686,771,7799999,427.59444,-1.51
meconic acid,O=C(O)c1cc(=O)c(O)c(C(=O)O)o1,200.10246,393.15,858.67,199267.9150471213,,1111.856,6328917.6,,
glucochloralose,OCC(O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,309.52834,456.15,456.15,160289.03847705835,156887.89212564207,1060.8365,3857875.9,,1.02
biphenyl,c1ccc(-c2ccccc2)cc1,154.2078,342.575,528.35,120421.92418282344,315453.9711,773,3380000,385.92778,3.76
acenaphthylene,C1=Cc2cccc3cccc1c23,152.19192,364.9,553.15,45337.49229262631,301864.1952366748,796.87,3221922,,3.94
"1(3h)-isobenzofuranone, 3,3-bis(4-hydroxyphenyl)-, compd. with 2-(diethylamino)ethanol(1:1)",CCN(CC)CCO.O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,435.51216,849.76,1203.42,139024.8207994927,,1473.3422,1880534.9,,
"propanoic acid, 2-methoxy-2-methyl-, methyl ester",COC(=O)C(C)(C)OC,132.15768,224.36,414.29,71422.25862318407,283328.4523015176,589.3,2935000,,
tin tetrachloride,[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4],260.51300000000003,239.08,387.3,35314.936298764354,108789.5777614387,592,3749025,,
t-2 toxin,CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]12CO2,466.52136,424.65,1090.7,133132.16783900312,226989.08475114763,1335.4996,1247729,,
demeclocycline,CN(C)[C@@H]1C(=O)C(C(=N)O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,464.85304,494.65,1520.14,136419.45850241187,,1963.4844,3055785.5,,
aminopterin,N=c1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(N)[nH]1,440.4127,1353.64,1531.23,199851.18503621715,,1885.807,3079572.5,,
12007-23-7,B#B.[Hf],200.112,3373.15,,,,,,,
aluminum chloride,[Al+3].[Cl-].[Cl-].[Cl-],133.340538,465.75,453.15,265110.6747446901,261497.17757863883,629,2634450,,
quinacrine,CCN(CC)CCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12,399.9568,522.15,986.12,142437.88329139547,,1217.7319,1372758.8,,
2-hydroxydibenzofuran,Oc1ccc2oc3ccccc3c2c1,184.19072,409.15,621.15,158346.73972716974,337846.11570007587,906.77254,4534684.7,,
trans-isoeugenol,C/C=C/c1ccc(O)c(OC)c1,164.20108,306.65,567.26,136911.40155716395,,794.17234,3551534.9,,
meclofenoxate,CN(C)CCOC(=O)COc1ccc(Cl)cc1,257.71334,412.15,636.33,129069.7641030146,,840.24033,2256814.2,,
dibenzofuran,c1ccc2c(c1)oc1ccccc12,168.19132000000002,355.15,558.35,139026.19944953162,307977.45883827336,824,3640000,398.4898138,4.12
"1,2,3-butanetriol",CC(O)C(O)CO,106.1204,287.3,443.15,106803.21596978528,1046228.1233641746,719,5830000,,
cesium fluoride,[Cs+].[F-],151.9038532,976.15,1524.15,142853.51913640593,1244801.6004031186,2482.33,20469000,,
saccharic acid,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,210.1388,398.65,994.86,161045.93725670842,855395.6025817016,1220.1108,6762898.2,,
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,202.2506,424.35,667.15,85834.10877396655,292334.69715556485,938.2,2604053,,5.08
piromidic acid,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,288.30184,588.15,933.4,153002.83896904718,,1188.6441,3202778.5,,
sodium thiosulfate,O=S([O-])([O-])=S.[Na+].[Na+],158.10773999999998,321.15,,,,,,,
"acetanilide, mono(aminomethoxy) derivative",CC(=O)N(OCN)c1ccccc1,180.20378,405.5,593.46,133804.0744761292,,815.32333,3673094.6,,
manganese chloride,[Cl-].[Cl-].[Mn+2],125.844049,923.15,1463.15,243952.7355004288,1428187.1835703885,2382.98,19650000,,
dysprosium chloride,[Cl-].[Cl-].[Cl-].[Dy+3],268.85900000000004,991.15,1803.15,,,,,,
21284-22-0,OC12C3=C4C5C3C1C5C42,118.13264,400.54,483.32,179086.82985498334,467962.82051729655,673.30415,5094760,,
oxazole,c1cocn1,69.06202,187.15,342.65,173047.35656443294,436957.6691227508,551,6770000,,0.12
5-methyl-3-pyridinecarbonitrile,Cc1cncc(C#N)c1,118.13594,357.15,547.2,120048.14114993284,,793.86514,3916034,,
triphosgene,O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,296.74830000000003,354.65,476.15,,134111.83190814496,687.9801,2626108.5,,
7646-79-9,[Cl-].[Cl-].[Co+2],129.8392,1010.15,1322.15,354284.37636707554,1221274.404318749,2154.97,17770000,,
maltitol,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,344.31236,421.65,1352.26,159221.70206146536,366649.7413911573,2044.7467,4672091.6,,
bromoform,BrC(Br)Br,252.73064,281.65,422.35,43722.439036279895,149349.2186,682,5800000,,2.38
sodium chlorate,[Na+].[O-][Cl+2]([O-])[O-],106.44097,521.15,,212324.2582250049,,,,,
"2,5-dimethoxy-α,3,4-trimethylbenzeneethanamine",COc1cc(CC(C)N)c(OC)c(C)c1C,223.31134,425.49,604.25,116254.73207048063,,869.58589,2135430.7,441.75,
artemether,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,298.37464,360.15,721.74,154597.58912486664,225629.2299254035,955.87865,2012703.8,,3.53
artesunate,C[C@H]1[C@@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,384.4208200000001,414.15,971.69,174865.65894115722,268227.2726407965,1208.9924,1727463,,
strontium dichloride,[Cl-].[Cl-].[Sr+2],158.526,1147.15,1523.15,102317.60089827536,,,,,
methacycline hydrochloride,C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(=N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl,478.8796200000001,1171.25,1537.9,132711.84937876454,,1996.7711,2637959.3,,
"propanoic acid, 2,2'-oxybis-",CC(OC(C)C(=O)O)C(=O)O,162.1406,385.65,649.44,158652.42881795182,257977.7707891668,660,3480000,,
piroxicam,CN1C(C(O)=Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,331.34642,472.15,,,,,,,3.06
difluoromethane,FCF,52.02338639999999,137.15,221.4986824,86614.89210552431,381861.5044735332,351.255,5782000,,0.2
bromobenzene,Brc1ccccc1,157.0079,242.15,429.05,68149.43706654251,240533.78597940173,670,4519095,313.4498952,2.99
phenol red,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,354.37646,573.15,,,,,,,3.02
chlorine trifluoride,,92.4482096,196.85,284.9,,232660.53840247708,433.7,4578000,,
"trans-4-hydroxy-α,α,4-trimethylcyclohexanemethanol",CC(C)(O)[C@H]1CC[C@](C)(O)CC1,172.2646,431.65,624.65,52396.13942736929,588329.9628290851,702.7,2949000,,
ethylcocaine,CCOC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,317.37952,382.15,775.41,140172.8756789348,,992.35077,1753603.3,,
cuprous chloride,[Cl-].[Cu+],98.999,696.15,1763.15,71515.87389771614,3106904.1077398937,2435,23679000,,
dexfosfoserine,N[C@@H](COP(=O)(O)O)C(=O)O,185.072481,439.15,,,,,,,
1-ethyl-2-pyrrolidinone,CCN1CCCC1=O,113.15764,361.15,370.15,77688.08186526338,240101.56684540084,639.52778,4041499.7,,-0.04
sulfonyl fluoride,O=S(=O)(F)F,102.0606064,137.34,217.75,,190394.28353464545,336.28,4639000,,
16681-70-2,O=C(O)c1cnn[nH]1,113.07482,486.15,592.95,251638.69374278025,,854.79457,7971938.8,,
sodium bromide,[Br-].[Na+],102.89377,1020.15,1663.15,254923.1114770117,,4287,19252000,,
nitrofurazone,N=C(O)N/N=C/c1ccc([N+](=O)[O-])o1,198.13624,511.15,797.15,,,1059.4879,4397413.6,,0.23
benzhydryl pyrazine,c1ccc(C(c2ccccc2)c2cnccn2)cc1,246.30646,488.69,775.56,116367.22804590673,,1066.7274,2931340.1,,
eflornithine,NCCCC(N)(C(=O)O)C(F)F,182.1684864,473.1,622.32,148521.8466414178,394554.8923277979,826.5657,3655350.2,,
opipramol,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,363.49586,437.9,940.64,140664.60069173828,,1161.6421,1816954.2,,
76189-55-4,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,622.6724020000001,556.15,,,,,,,
66575-29-9,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,410.50116,505.15,1143.92,83846.29168891996,308298.39263489936,1402.5466,1681033.6,,
cyclopentane,C1CCCC1,70.1329,179.15,322.3998823,8697.772372167698,389326.2151536407,511.72,4582800,236.15,3
"1-ethyl-2,2,4-trimethyl-7-nitro-1,2,3,4-tetrahydroquinoline",CCN1c2cc([N+](=O)[O-])ccc2C(C)CC1(C)C,248.3208,512.68,723.15,131156.955,,960.42367,2248261.6,,
"2-chloro-3,4-dimethoxybenzaldehyde",COc1ccc(C=O)c(Cl)c1OC,200.61896,342.65,,,,,,,
"2-propenoic acid, 2-methyl-, methyl ester, polymer with 1,1'-(1-methyl-1,3-propanediyl) di-2-propenoate",C=C(C)C(=O)OC.CC(/C=C/C(=O)O)CC/C=C/C(=O)O,298.33158000000003,548.72,897.88,168228.92165824346,322472.97329816635,1114.3265,1730338.5,,
methazole,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,261.06154,396.15,670.81,122224.0549105778,,901.47841,3435911.3,,
copper(ii) chloride,[Cl-].[Cl-].[Cu+2],134.452,871.15,1266.15,111563.97822271143,1164934.3771933715,2010,17004000,,
tungsten trioxide,[O].[O].[O].[W],231.8382,1746.15,1973.15,314874.77042178554,1395202.1807408575,3013.7783,44402499,,
tetrabutylammonium hydroxide,CCCC[N+](CCCC)(CCCC)CCCC.[OH-],259.47108,300.15,373.15,,103979.36562777383,467.5945,834747.84,,
sodium acetate,CC(=O)[O-].[Na+],82.03379,601.35,,218202.76742059583,,,,,
crystal violet,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],407.9788,483.15,943.99,127043.36597882044,,1184.4564,1345700.1,,0.51
chromium chloride (crcl3),[Cl-].[Cl-].[Cl-].[Cr+3],158.3551,1100.15,,378895.28029094107,,,,,
mercuric oxide,[Hg].[O],216.5894,773.15,,,,,,,
valinomycin,CC1OC(=O)C(C(C)C)N=C(O)C(C(C)C)OC(=O)C(C(C)C)N=C(O)C(C)OC(=O)C(C(C)C)N=C(O)C(C(C)C)OC(=O)C(C(C)C)N=C(O)C(C)OC(=O)C(C(C)C)N=C(O)C(C(C)C)OC(=O)C(C(C)C)N=C1O,1111.3218000000002,463.15,2523.74,135459.41418588205,261539.4214929532,6288.9566,313480.57,,
chalcone,O=C(/C=C/c1ccccc1)c1ccccc1,208.25518,329.65,619.65,117591.31273469405,228470.2458076708,906.23015,2826327,,3.08
brn 0805305,CCOC(C1=NCC(C)(CC)CN1)c1ccccc1,260.37456,524.86,740.52,115218.62965414132,,984.28766,2193836.4,,
tetracosane,CCCCCCCCCCCCCCCCCCCCCCCC,338.6538,325.65,664.15,160636.02416391016,177276.90313830934,800,870000,,
amifostine,NCCCNCCSP(=O)(O)O,214.222961,433.65,,,,,,,
triacrylformal,C=CC(=O)N1CN(C(=O)C=C)CN(C(=O)C=C)C1,249.2658,431.15,674.54,136079.63868288387,302580.97917802306,875.46294,2775924.1,,
ammonium sulfate,N.N.O=S(=O)(O)O,132.13952,610.65,,,,,,,
prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,373.9426600000001,501.15,866.63,127335.03045627369,,1104.6709,1942365.7,,4.88
af 1312ts,O=C(O)c1nn(Cc2ccc(Cl)cc2)c2ccccc12,286.71304000000003,469.15,866.48,154879.5966866383,,1122.2758,3032273.1,,
2-(azepan-1-yl)-7-methoxy-4-methylquinoline,COc1ccc2c(C)cc(N3CCCCCC3)nc2c1,270.36938,515.89,761.94,110182.59538117817,,1008.6558,2269734.8,,
quinacridone,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,312.32148,663.15,1009.16,141719.35916799575,,1301.3437,3005732.5,,
phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,367.808561,318.525,,,,,,,4.38
nickel(ii) chloride,[Cl-].[Cl-].[Ni+2],129.5994,1304.15,1258.15,601083.0297053844,,,,,
ferrous chloride,[Cl-].[Cl-].[Fe+2],126.751,950.15,1296.15,337906.60428714566,1123302.905748469,2010,8720000,,
acetyl chloride,CC(=O)Cl,78.49762,161.15,324.15,85760.56191257773,387781.3564617719,508,5740000,269.15,
sulfur oxide,O=S,48.0644,452.65,,,,,,,
thiourea,N=C(N)S,76.12086,450.15,,183918.0482196339,,854,8230000,,-1.08
"n-(1,3-dioxolan-2-ylmethoxy)benzenecarboximidoyl cyanide",N#CC(=NOCC1OCCO1)c1ccccc1,232.23528,350.85,771.08,,,1024.2176,2453168.4,,
chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,319.87214,361.15,820.36,145651.9470560956,,1039.2858,1711775.1,,4.63
iptg,CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,238.30122,389.65,870.4,168370.9382604084,549328.1063819374,1067.6948,3786982.2,,-1.26
hydrazoic acid,[N-]=[N+]=N,43.02804,193.15,308.85,,805401.9598483526,481.47755,10378755,,
"4,4-dimethyl-3-hexanol",CCC(O)C(C)(C)CC,130.22792,228.16,433.35,73924.23990185821,327844.23871864006,590.31,2869000,,
"(2.2)-paracyclophane, 2,5-dicyano-2',5'-dimethoxy-",COc1cc2c(OC)cc1CCc1cc(C#N)c(cc1C#N)CC2,318.36912,636.22,1005.12,105713.77022997708,,1258.3351,1649771.9,,
"1-cyano-2,3-epithiopropane",N#CCC1CS1,99.1542,301.22,447.77,94943.02813193997,418409.78091027273,673.55688,4426719.9,,
4-(2-pyridyl)benzonitrile,N#Cc1ccc(-c2ccccn2)cc1,180.20532,364.65,688.28,117493.75656612136,,959.92622,3276530.3,,
"2,3-dihydro-7-methyl-1h-inden-4-ol",Cc1ccc(O)c2c1CCC2,148.20168,359.4,557.07,119877.18357848574,,795.06283,4082924.2,,
brn 1222717,COc1ccc2c(c1)Sc1ccccc1N2CC(C)CN(C)C,328.47166,579.13,800.18,123325.70791647596,,1025.1936,1840413.7,,
oleyl alcohol,CCCCCCCC/C=C\CCCCCCCCO,268.47784,279.15,606.15,173816.95263936865,213829.30259095816,755,1350000,,
"4,5,6-trichloro-o-cresol",Cc1cc(Cl)c(Cl)c(Cl)c1O,211.473,350.15,594.29,118852.05203501155,,842.02814,4077711.4,,
67526-95-8,CC=C(C)C(=O)OC1C(C)=C2C(C1OC(=O)CCCCCCC)C(C)(OC(C)=O)CC(OC(=O)CCC)C1(O)C2OC(=O)C1(C)O,650.7536,910.27,1472.27,138053.7887151143,116835.9377448772,2037.5825,692520.78,,
cis-2-butene,C/C=C\C,56.10632,134.26,276.8735554,130288.35254210222,414196.1035018301,435.75,4225500,,2.33
decyl acetate,CCCCCCCCCCOC(C)=O,200.31776,258.15,522.15,155777.50070687692,238211.3311795963,678,1860000,383.4105793,
milk thistle extract,COc1cc([C@H]2Oc3cc([C@@H]4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3O[C@H]2CO)ccc1O,482.43618,1148.17,1481.55,177111.5093399504,,1837.561,3022279.3,,
spilanthol,C/C=C/C=C\CC/C=C/C(O)=NCC(C)C,221.33852,296.15,700.7,,,892.63456,1727463,,
"2,3-dichloropropyl acrylate",C=CC(=O)OCC(Cl)CCl,183.03252,242.79,466.2,105205.34820806708,234478.9471894712,661.66961,3042316.5,,
homochlorcyclizine,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,314.85232,464.25,774.48,102394.03667090651,,1020.7648,2038226.9,,
41122-70-7,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,263.37674000000004,286.65,799.72,128242.15228725209,,1030.2962,1686561.1,,
xylazine,Cc1cccc(C)c1NC1=NCCCS1,220.33384,413.15,690.86,116141.9417,,952.59567,3079572.5,,
gemcitabine,N=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(O)n1,263.1981464,441.79,846.62,152037.54489663077,,1059.7271,4385772.6,,
